news,label
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"Tech company Z reported record profits on 2024-06-03 06:20:21.599588, driven by new product releases.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"International peace talks concluded successfully on 2023-12-20 06:20:21.599539, with major agreements signed.",true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
Global health organization reported a significant decrease in COVID-19 cases as of 2024-05-08 06:20:21.599573.,true
Breakthrough in cancer research was announced on 2023-12-17 06:20:21.599531.,true
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
New energy-efficient car model to be launched by 2024-11-11 06:20:21.599546.,true
"New space telescope launched by space agency on 2024-02-24 06:20:21.599580, aiming to explore distant galaxies.",true
Local government to hold elections on 2025-04-29 06:20:21.599566.,true
"Government unveiled new environmental policies on 2024-04-24 06:20:21.599503, aiming to cut emissions by 20%.",true
"Stock markets experienced significant growth on 2024-03-05 06:20:21.599553, fueled by strong tech earnings.",true
Scientists discovered a new species of marine life on 2024-01-15 06:20:21.599559.,true
